mode,domain,seed,milestone,cov,occ_phys,occ_rew,fwd,geom,vsa,retdec
p2e,cup,3,300000,0.971749,0.022290000692009926,0.088777,0.96471,0.99076,-0.040294,0.08661
p2e,cup,3,400000,0.952129,0.019564999267458916,0.095662,0.99693,0.99901,-0.021658,0.76217
p2e,cup,3,500000,0.979497,0.0211733877658844,0.101052,0.98388,0.99567,-0.033541,0.50306
p2e,cup,4,100000,0.984154,0.051750000566244125,0.09753,0.95536,0.99474,-0.049541,0.18362
p2e,cup,4,200000,0.982377,0.03099999949336052,0.105585,0.96602,0.99203,-0.048172,0.02064
p2e,cup,4,300000,1.003788,0.02755666710436344,0.09534,0.97543,0.99422,-0.042139,0.11187
p2e,cup,4,400000,0.991191,0.024392500519752502,0.116305,0.99668,0.99883,-0.01062,0.16549
p2e,cup,4,500000,0.998878,0.024051468819379807,0.105192,0.97094,0.99247,-0.044867,0.15478
p2e,cup,5,100000,0.989833,0.05299000069499016,0.11852,0.93513,0.98926,-0.055228,0.19048
p2e,cup,5,200000,0.968835,0.03172999992966652,0.12915,0.95658,0.99348,-0.031832,0.01109
p2e,cup,5,300000,0.958393,0.0240833330899477,0.20074,0.98573,0.99598,-0.019763,0.06788
p2e,cup,5,400000,0.91807,0.019865000620484352,0.25277,0.96768,0.98992,-0.036869,0.18718
p2e,cup,5,500000,0.910154,0.0174191202968359,0.272429,0.96435,0.99074,-0.016888,0.01175
p2e,finger,1,100000,0.722819,0.05276999995112419,0.05274,0.80469,0.90665,-0.604149,-0.23068
p2e,finger,1,200000,0.802159,0.06396999955177307,0.063925,0.54688,0.61922,-0.698075,-0.01963
p2e,finger,1,300000,0.825819,0.07148999720811844,0.071447,0.63139,0.70749,-0.524461,-0.03865
p2e,finger,1,400000,0.821533,0.07203499972820282,0.07197,0.80497,0.89497,-0.536097,-0.13771
p2e,finger,2,100000,0.731376,0.08166000247001648,0.08158,0.6519,0.87118,-0.745792,-0.10511
p2e,finger,2,200000,0.797806,0.07120999693870544,0.071135,0.55752,0.65819,-0.745089,-0.02803
p2e,finger,2,300000,0.829332,0.06748666614294052,0.067413,0.86563,0.9288,-0.646212,-0.0078
p2e,finger,2,400000,0.818136,0.07427000254392624,0.074192,0.43751,0.49746,-0.714802,-0.03457
p2e,finger,2,500000,0.842755,0.07603833079338074,0.075968,0.71521,0.79805,-0.564693,-0.09088
p2e,finger,3,100000,0.70821,0.0646200031042099,0.06455,0.6542,0.71172,-0.381549,-1.38383
p2e,finger,3,200000,0.795663,0.06639000028371811,0.066325,0.76843,0.88952,-0.705491,-0.06195
