run_id,phase,task,expl_mode,seed,steps,ckpt_policy,logdir,status,su,notes,axis,paired_seed_set
adapt_ax1rlq1s1_finger_seed1_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed1/ckpt/20260716T174831F118823-000000500000,/workspace/dreamerv3_runs/adapt_ax1rlq1s1_finger_seed1_ckpt500000,DONE,,,axis1,ax1rl_finger_q1
ax1wm_finger_rlq1s1_seed6,offline_fit,dmc_finger_turn_hard,static,6,500000,/workspace/dreamerv3_runs/axis1_finger/q1_rl/side1,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed6,DONE,,,axis1,ax1rl_finger_q1
ax1wm_finger_rlq1s1_seed8,offline_fit,dmc_finger_turn_hard,static,8,500000,/workspace/dreamerv3_runs/axis1_finger/q1_rl/side1,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed8,DONE,,,axis1,ax1rl_finger_q1
ax1wm_finger_rlq1s1_seed7,offline_fit,dmc_finger_turn_hard,static,7,500000,/workspace/dreamerv3_runs/axis1_finger/q1_rl/side1,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed7,DONE,,,axis1,ax1rl_finger_q1
ax1wm_finger_rlq1s1_seed5,offline_fit,dmc_finger_turn_hard,static,5,500000,/workspace/dreamerv3_runs/axis1_finger/q1_rl/side1,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed5,DONE,,,axis1,ax1rl_finger_q1
adapt_ax1rlq1s1_finger_seed6_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,6,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed6/ckpt/20260716T203922F962771-000000500000,/workspace/dreamerv3_runs/adapt_ax1rlq1s1_finger_seed6_ckpt500000,DONE,,,axis1,ax1rl_finger_q1
adapt_ax1rlq1s1_finger_seed8_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,8,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed8/ckpt/20260716T204344F239253-000000500000,/workspace/dreamerv3_runs/adapt_ax1rlq1s1_finger_seed8_ckpt500000,DONE,,,axis1,ax1rl_finger_q1
adapt_ax1rlq1s1_finger_seed7_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,7,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed7/ckpt/20260716T204726F052972-000000500000,/workspace/dreamerv3_runs/adapt_ax1rlq1s1_finger_seed7_ckpt500000,DONE,,,axis1,ax1rl_finger_q1
adapt_ax1rlq1s1_finger_seed5_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,5,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed5/ckpt/20260716T204932F111068-000000500000,/workspace/dreamerv3_runs/adapt_ax1rlq1s1_finger_seed5_ckpt500000,DONE,,,axis1,ax1rl_finger_q1
ax1wm_finger_vgoq1s0_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/q1/side0,/workspace/dreamerv3_runs/ax1wm_finger_vgoq1s0_seed2,DONE,,,axis1,ax1vgo_finger_q1
ax1wm_finger_vgoq1s0_seed3,offline_fit,dmc_finger_turn_hard,static,3,500000,/workspace/dreamerv3_runs/axis1_finger/q1/side0,/workspace/dreamerv3_runs/ax1wm_finger_vgoq1s0_seed3,DONE,,,axis1,ax1vgo_finger_q1
adapt_ax1vgoq1s0_finger_seed3_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,3,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_vgoq1s0_seed3/ckpt/20260717T002355F928144-000000500000,/workspace/dreamerv3_runs/adapt_ax1vgoq1s0_finger_seed3_ckpt500000,DONE,,,axis1,ax1vgo_finger_q1
adapt_ax1vgoq1s0_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_vgoq1s0_seed2/ckpt/20260717T002627F938036-000000500000,/workspace/dreamerv3_runs/adapt_ax1vgoq1s0_finger_seed2_ckpt500000,DONE,,,axis1,ax1vgo_finger_q1
