run_id,phase,task,expl_mode,seed,steps,ckpt_policy,logdir,status,su,notes,axis,paired_seed_set
adapt_ax1fq1s0_finger_seed1_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_fq1s0_seed1/ckpt/20260713T025658F447059-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s0_finger_seed1_ckpt500000,DONE,,,axis1,ax1f_finger_q1
ax1wm_finger_fq1s1_seed1,offline_fit,dmc_finger_turn_hard,static,1,500000,/workspace/dreamerv3_runs/axis1_finger/q1/side1,/workspace/dreamerv3_runs/ax1wm_finger_fq1s1_seed1,DONE,,,axis1,ax1f_finger_q1
adapt_ax1fq1s1_finger_seed3_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,3,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_fq1s1_seed3/ckpt/20260713T072848F758124-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s1_finger_seed3_ckpt500000,DONE,,,axis1,ax1f_finger_q1
adapt_ax1fq1s1_finger_seed4_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,4,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_fq1s1_seed4/ckpt/20260713T073220F273697-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s1_finger_seed4_ckpt500000,DONE,,,axis1,ax1f_finger_q1
adapt_ax1fq1s1_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_fq1s1_seed2/ckpt/20260713T074158F579963-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s1_finger_seed2_ckpt500000,DONE,,,axis1,ax1f_finger_q1
ax1wm_finger_fq2s0_seed3,offline_fit,dmc_finger_turn_hard,static,3,500000,/workspace/dreamerv3_runs/axis1_finger/q2/side0,/workspace/dreamerv3_runs/ax1wm_finger_fq2s0_seed3,DONE,,,axis1,ax1f_finger_q2
ax1wm_finger_fq2s0_seed4,offline_fit,dmc_finger_turn_hard,static,4,500000,/workspace/dreamerv3_runs/axis1_finger/q2/side0,/workspace/dreamerv3_runs/ax1wm_finger_fq2s0_seed4,DONE,,,axis1,ax1f_finger_q2
ax1wm_finger_fq2s0_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/q2/side0,/workspace/dreamerv3_runs/ax1wm_finger_fq2s0_seed2,DONE,,,axis1,ax1f_finger_q2
adapt_ax1fq1s1_finger_seed1_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_fq1s1_seed1/ckpt/20260713T081126F665478-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s1_finger_seed1_ckpt500000,DONE,,,axis1,ax1f_finger_q1
ax1wm_finger_fq2s0_seed1,offline_fit,dmc_finger_turn_hard,static,1,500000,/workspace/dreamerv3_runs/axis1_finger/q2/side0,/workspace/dreamerv3_runs/ax1wm_finger_fq2s0_seed1,DONE,,,axis1,ax1f_finger_q2
adapt_ax1fq2s0_finger_seed3_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,3,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_fq2s0_seed3/ckpt/20260713T123513F380834-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq2s0_finger_seed3_ckpt500000,DONE,,,axis1,ax1f_finger_q2
adapt_ax1fq2s0_finger_seed4_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,4,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_fq2s0_seed4/ckpt/20260713T123957F018325-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq2s0_finger_seed4_ckpt500000,DONE,,,axis1,ax1f_finger_q2
adapt_ax1fq2s0_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_fq2s0_seed2/ckpt/20260713T125116F477131-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq2s0_finger_seed2_ckpt500000,DONE,,,axis1,ax1f_finger_q2
ax1wm_finger_fq2s1_seed3,offline_fit,dmc_finger_turn_hard,static,3,500000,/workspace/dreamerv3_runs/axis1_finger/q2/side1,/workspace/dreamerv3_runs/ax1wm_finger_fq2s1_seed3,DONE,,,axis1,ax1f_finger_q2
ax1wm_finger_fq2s1_seed4,offline_fit,dmc_finger_turn_hard,static,4,500000,/workspace/dreamerv3_runs/axis1_finger/q2/side1,/workspace/dreamerv3_runs/ax1wm_finger_fq2s1_seed4,DONE,,,axis1,ax1f_finger_q2
ax1wm_finger_fq2s1_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/q2/side1,/workspace/dreamerv3_runs/ax1wm_finger_fq2s1_seed2,DONE,,,axis1,ax1f_finger_q2
