run_id,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,reward_aware
ax1wm_cup_fq1s0_seed12,0.004424,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.05585558104788543,0.05211879330547065,0.05211879330547065,,0.05653093310688962,0.056543208984698806,0.05658329675234253,0.05658329675234253,0.0556759205622464,0
ax1wm_cup_fq1s0_seed12,0.017233,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.07678373170261073,0.062240176315272205,0.062240176315272205,,0.08320309077635966,0.07947271066537331,0.06736091151586826,0.06736091151586826,0.07912074223927754,0
ax1wm_cup_fq1s0_seed12,0.110141,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.20054824364680507,0.10767328518972141,0.10767328518972141,,0.2374685355395571,0.21781412001300315,0.15509160547458076,0.15509160547458076,0.2119969975120371,0
ax1wm_cup_fq1s0_seed13,0.003809,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.03696286282034631,0.03374547282563771,0.03374547282563771,,0.04068952266583211,0.03755421320372382,0.02729979829208933,0.02729979829208933,0.03934553626566995,0
ax1wm_cup_fq1s0_seed13,0.006721,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.04670442410421069,0.041028027118495396,0.041028027118495396,,0.051181483519423907,0.04774897076216422,0.03653985187176949,0.03653985187176949,0.04921388208678346,0
ax1wm_cup_fq1s0_seed13,0.018234,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.06722153045607217,0.05183317528841885,0.05183317528841885,,0.07722291048112022,0.07006670567047421,0.04683193796302222,0.04683193796302222,0.07227847641813594,0
ax1wm_cup_fq1s0_seed13,0.095296,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.18862737881307018,0.10827024872286108,0.10827024872286108,,0.23761068454636897,0.2035661340634552,0.09492083704438806,0.09492083704438806,0.2122284011369618,0
ax1wm_cup_fq1s0_seed14,0.005284,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.04349801651129932,0.03903476810269179,0.03903476810269179,,0.04225054569649265,0.04431835338742557,0.05108137256513591,0.05108137256513591,0.04162814789528482,0
ax1wm_cup_fq1s0_seed14,0.007943,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.05294479890264638,0.04623603416408392,0.04623603416408392,,0.05226344647575584,0.054179317524986684,0.060435733127251895,0.060435733127251895,0.05109541613896572,0
ax1wm_cup_fq1s0_seed14,0.019219,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.07292183374261048,0.056702023907912506,0.056702023907912506,,0.07743963595855659,0.07592073781138334,0.07098917889787258,0.07098917889787258,0.07340116314149335,0
