seed,iters,converged,delta_profit,delta_price,fingerprint,punish_depth,recovered,coverage,coverage_late,punish_occupancy,undercut_rate,punish_occ_dist,ref_min_idx,punish_occ_dist_exo,exo_ref_idx,punish_label_jaccard,explore_mode,explore_mix
0,1493511,True,0.7954004086045708,0.6285714285714282,True,0.2712000000000001,True,1.0,0.35555555555555557,0.6224366609954664,0.27428187673207627,0.5778745519785258,7,0.9981620490240781,13,0.8593313087562957,force,1.0
1,2000000,False,0.5488289796241741,0.3714285714285722,True,0.23245714285714292,True,1.0,0.1288888888888889,0.484803,0.214334,0.406963,5,0.9983465,13,0.7942201695500094,force,1.0
2,1892265,True,0.7511208536207944,0.5642857142857148,False,0.3409371428571426,False,1.0,0.24888888888888888,0.4950289732146396,0.22068579189489845,0.4351805904564107,7,0.9985181779507627,13,0.833915395402821,force,1.0
3,1697848,True,0.7744661959707597,0.5857142857142859,False,0.3021942857142854,False,1.0,0.2577777777777778,0.9829113089039773,0.47424268839142253,0.44042576249464027,6,0.9984274210647832,13,0.42684736291759146,force,1.0
4,1768283,True,0.5927099327982631,0.41557142857142965,False,0.2479542857142858,False,1.0,0.24888888888888888,0.9747082339195706,0.5257546444771567,0.48506658719220846,4,0.9950313383095353,13,0.4742279463627397,force,1.0
5,1775437,True,0.8284095520538574,0.6285714285714292,True,0.30994285714285685,True,1.0,0.22666666666666666,0.48194275550188487,0.21972449599732347,0.41867100888401,8,0.9983401269659244,13,0.8305577021047631,force,1.0
6,2000000,False,0.3289657602959067,0.2514285714285721,False,0.17821714285714285,False,1.0,0.8,0.9843765,0.489865,0.0,0,0.9971395,13,0.0,force,1.0
7,1726177,True,0.867614195970294,0.6714285714285712,True,0.34868571428571404,True,1.0,0.18666666666666668,0.5222407667348135,0.24401784984969677,0.4709685043885998,9,0.9985146366797842,13,0.852845914175697,force,1.0
8,1600422,True,0.5931145309556315,0.4999999999999995,False,0.294445714285714,False,1.0,0.29333333333333333,0.9736781923767607,0.48712152169865197,0.5711618560604641,4,0.9981304930824495,13,0.5504998181339287,force,1.0
9,2000000,False,0.28858074131182393,0.2000000000000006,False,0.054239999999999844,False,1.0,0.08444444444444445,0.9564095,0.4489065,0.3686135,2,0.9985335,13,0.3632590069987988,force,1.0
