seed,iters,converged,delta_profit,delta_price,fingerprint,punish_depth,recovered,coverage,coverage_late,punish_occupancy,undercut_rate,punish_occ_dist,ref_min_idx,punish_occ_dist_exo,exo_ref_idx,punish_label_jaccard,explore_mode,explore_mix
24,1772682,True,0.9461408266197041,0.7999999999999979,True,0.3099428571428571,True,1.0,0.4222222222222222,0.7070410823825142,0.31454146880263917,0.6397058242820766,10,0.9868966910026727,13,0.8768993220736073,uniform,1.0
25,1998465,True,0.7475167886897001,0.5428571428571439,True,0.15497142857142876,True,1.0,0.27111111111111114,0.4621121710913126,0.20111735757193647,0.36641172099586433,7,0.9971162867500807,13,0.7812681203465336,uniform,1.0
26,1835468,True,0.9262724151746672,0.7571428571428556,True,0.2711999999999999,True,1.0,0.44,0.5693381742422097,0.24731839509051642,0.5674187727598629,10,0.9969691653572822,13,0.8073157759791558,uniform,1.0
27,1802673,True,0.8950847214005064,0.7142857142857131,True,0.2711999999999999,True,1.0,0.3111111111111111,0.5751631050112804,0.24980071260844314,0.5076405981561826,9,0.9972673912573162,13,0.8621588721387046,uniform,1.0
28,1663371,True,0.981322970796699,0.9071428571428557,True,0.38742857142857123,True,1.0,0.6044444444444445,0.6601052922048057,0.29158317657335614,0.6545923909939514,11,0.9971431508665235,13,0.947116583208086,uniform,1.0
29,1496980,True,0.607595767827333,0.41428571428571564,True,0.19371428571428573,True,1.0,0.40444444444444444,0.6543514275407821,0.2897206375502679,0.5062659487768708,6,0.9962424347686676,13,0.7661132762865513,uniform,1.0
30,1605002,True,0.8284095520538574,0.6285714285714292,True,0.3099428571428573,True,1.0,0.43555555555555553,0.5857494258574133,0.25620404211334313,0.4996778820213308,8,0.9963389453720307,13,0.8375905286896571,uniform,1.0
31,1658537,True,0.7735147738999214,0.615285714285715,False,0.2711999999999999,False,1.0,0.6088888888888889,0.952585923618225,0.39534782763363135,0.4811427179496146,5,0.9967181919969226,13,0.5004224467840095,uniform,1.0
32,1876416,True,0.9461408266197041,0.7999999999999979,True,0.1937142857142855,True,1.0,0.4266666666666667,0.5165549643575839,0.22529758859442683,0.44320129438248235,10,0.9950544015825915,13,0.8392071676812984,uniform,1.0
33,1618352,True,0.9686135820970799,0.8428571428571413,True,0.4261714285714284,True,1.0,0.6933333333333334,0.5818171819233393,0.24964408237515695,0.5656365240689294,11,0.997026604842457,13,0.8775108258591178,uniform,1.0
34,1448396,True,0.9262724151746672,0.7571428571428556,True,0.38742857142857123,True,1.0,0.7733333333333333,0.672958914550993,0.3003757259754929,0.5571300942559908,10,0.97451180478267,13,0.8179903552398231,uniform,1.0
35,2000000,False,0.6883159107837347,0.5000000000000004,True,0.23245714285714292,True,1.0,0.5333333333333333,0.753578,0.3191895,0.4917355,6,0.996607,13,0.6192186018934238,uniform,1.0
36,1901710,True,0.7744661959707597,0.5857142857142859,False,0.3021942857142854,False,1.0,0.4577777777777778,0.9794369278175957,0.4406144995819552,0.4673525406081895,6,0.9973013761299041,13,0.46835017445962346,uniform,1.0
37,2000000,False,0.7765220207353097,0.7275714285714283,False,0.30219428571428564,False,1.0,0.9511111111111111,0.965484,0.4530775,0.075863,1,0.9782285,13,0.07851310070691049,uniform,1.0
38,1951159,True,0.9963996779886849,0.9714285714285696,True,0.4649142857142856,True,1.0,0.3288888888888889,0.5406309788182306,0.23274371796455337,0.5083224893512011,12,0.9609550016169877,13,0.8996320792718807,uniform,1.0
39,1390662,True,0.8284095520538574,0.6285714285714292,True,0.3099428571428573,True,1.0,0.5955555555555555,0.7381419784246639,0.33330960362762485,0.5998617924412978,8,0.996059430688406,13,0.7914758334641124,uniform,1.0
40,1799200,True,0.8112019395199357,0.6071428571428583,True,0.33318857142857117,True,1.0,0.39555555555555555,0.5842229879946643,0.25381558470431304,0.47837538906180527,8,0.99672521120498,13,0.8087379788929938,uniform,1.0
41,1964910,True,0.9963996779886853,0.9714285714285696,True,0.38742857142857146,True,1.0,0.9333333333333333,0.8197179514583365,0.36266139416054677,0.9087540905181408,12,0.9966960318793228,13,0.8209480018207914,uniform,1.0
42,2000000,False,0.6538476705410136,0.4571428571428581,True,0.19371428571428573,True,1.0,0.21777777777777776,0.6035475,0.264832,0.3971275,6,0.9960925,13,0.6455723263303906,uniform,1.0
43,1615040,True,0.867614195970294,0.6714285714285712,True,0.30994285714285685,True,1.0,0.4666666666666667,0.6506117495541907,0.27986984842480683,0.5886392906677234,9,0.9967685010897563,13,0.8810013636846364,uniform,1.0
44,1604194,True,0.8950847214005064,0.7142857142857131,True,0.34868571428571404,True,1.0,0.4311111111111111,0.6231203956628687,0.26791086364866096,0.5342707926846753,9,0.9968731961346321,13,0.8454981268494194,uniform,1.0
45,1743035,True,0.9299112742521922,0.8857142857142848,False,0.3641828571428569,False,1.0,0.68,0.9680476869368658,0.4526495451898556,0.5828982206324027,8,0.993292159939416,13,0.5934413957737761,uniform,1.0
46,2000000,False,0.9905084753877653,1.014285714285713,True,0.4261714285714284,True,1.0,0.28,0.663367,0.279157,0.625875,12,0.9964595,13,0.9197004102235756,uniform,1.0
47,2000000,False,0.7621044817641904,0.5642857142857148,True,0.3176914285714283,True,1.0,0.3466666666666667,0.47623,0.2046825,0.3783335,7,0.9972275,13,0.7772341677775721,uniform,1.0
48,1851196,True,0.7999942485803583,0.6285714285714282,False,0.294445714285714,False,1.0,0.4311111111111111,0.9571525651524744,0.43643028615014295,0.4325533330884466,6,0.9949681179086385,13,0.44697942486823106,uniform,1.0
