run_id,deter_std,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,rew_nll_all,rew_nll_in,rew_nll_out,reward_aware
ax1wm_finger_pepxq1ms0_seed6,0.25386602677976455,4.242628,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,42.0872318564367,,38.15310646777398,38.15310646777398,42.39573417713066,42.39573417713066,,38.15310646777398,42.39573417713066,2.638926305995784,36.18960336897278,0.007982776689415844,1
ax1wm_finger_pepxq1ms0_seed7,0.2180127611596337,5.316655,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,26.098194094870117,102.15409851074219,21.16754061239956,21.102483703369444,26.48419602505464,26.48419602505464,,21.102483703369444,26.48895061024215,2.9747452394791813,40.90735607048935,0.005146777578808002,1
ax1wm_finger_pepxq1ms0_seed7,0.2180127611596337,5.410994,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,27.2865646338284,,22.26849878852127,22.26849878852127,27.679492996569504,27.679492996569504,,22.26849878852127,27.679492996569504,2.981282642084857,40.975151440112015,0.006258176240018986,1
ax1wm_finger_pepxq1ms0_seed7,0.2180127611596337,5.689362,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,30.708255520147812,,25.432362416881364,25.432362416881364,31.12172437893638,31.12172437893638,,25.432362416881364,31.12172437893638,2.9844791357695977,40.986462862541565,0.006284442347531317,1
ax1wm_finger_pepxq1ms0_seed7,0.2180127611596337,7.207622,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,38.88028059530088,,32.19676031247478,32.19676031247478,39.404382222462765,39.404382222462765,,32.19676031247478,39.404382222462765,2.986466603644377,41.00558857151142,0.00512101876949731,1
ax1wm_finger_pepxq1ms0_seed8,0.2447206454917529,6.598476,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,26.563415501298724,105.9818365914481,20.444005096468572,20.375292126481785,27.042480646771516,27.042480646771516,,20.375292126481785,27.04744066231478,3.0300312356138246,41.66675562965748,0.0053104262667501255,1
ax1wm_finger_pepxq1ms0_seed8,0.2447206454917529,6.749536,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,27.74037644840479,,21.48096929339058,21.48096929339058,28.23050525120832,28.23050525120832,,21.48096929339058,28.23050525120832,3.0347832815478246,41.722468046398376,0.005431116487460444,1
ax1wm_finger_pepxq1ms0_seed8,0.2447206454917529,7.069216,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,31.19296045379546,,24.637492619844288,24.637492619844288,31.70670888483377,31.70670888483377,,24.637492619844288,31.70670888483377,3.037458920416982,41.72559016521642,0.005491221043794117,1
ax1wm_finger_pepxq1ms0_seed8,0.2447206454917529,7.728346,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,39.55150598064394,,32.38512597749723,32.38512597749723,40.11347201973276,40.11347201973276,,32.38512597749723,40.11347201973276,3.039969888937603,41.729346350162665,0.006064955737836285,1
ax1wm_finger_pepxq1ms1_seed1,0.17755357485755202,6.056781,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,33.26850818058788,94.74689047677177,27.65146355412447,27.597565460429433,33.70824503807661,33.70824503807661,,27.597565460429433,33.71208029397011,8.847257767599249,6.7146649178856075,9.014210273836762,1
