seed,iters,converged,delta_profit,delta_price,fingerprint,punish_depth,recovered,coverage,punish_occupancy,undercut_rate
60,1600185,True,0.8220593699571501,0.6714285714285712,False,0.3409371428571426,False,1.0,0.9833881707427579,0.4634482887916085
61,2000000,False,0.9963996779886849,0.9714285714285696,True,0.5036571428571428,True,1.0,0.8383065,0.410192
62,1999014,True,0.6538476705410136,0.4571428571428581,True,0.11622857142857157,True,1.0,0.547135737918794,0.24067415235711206
63,1916590,True,0.8284095520538574,0.6285714285714292,True,0.03874285714285697,True,1.0,0.5414799200663679,0.23703922069926275
64,1460482,True,0.9186575982896709,0.7541428571428562,False,0.31769142857142874,False,1.0,0.6449514612299228,0.28217465192997926
65,1709135,True,0.7639268769204762,0.6071428571428568,False,0.33318857142857117,False,1.0,0.9901125423094138,0.4681122322110307
66,1931824,True,0.8284095520538574,0.6285714285714292,True,0.15497142857142832,True,1.0,0.5658936838966697,0.25162592451486265
67,1725386,True,0.9461408266197031,0.7999999999999979,False,0.0,True,1.0,0.6041587215846194,0.2702548878917529
68,1690021,True,0.7513402446139198,0.5642857142857144,False,0.2634514285714282,False,1.0,0.9912533631238902,0.466740354113943
69,1789358,True,0.9868543032699116,1.0999999999999988,True,0.5036571428571424,True,1.0,0.6423778807818223,0.2788407909428968
70,2000000,False,0.9997323564418449,1.014285714285713,True,0.5036571428571428,True,1.0,0.642797,0.2944205
71,1802284,True,0.6075957678273336,0.41428571428571564,True,0.19371428571428573,True,1.0,0.6522884295704784,0.299308544047442
72,2000000,False,0.677556278258516,0.47857142857142954,True,0.25570285714285723,True,1.0,0.8526795,0.3899925
73,1765298,True,0.7068412986370184,0.5000000000000004,True,0.2712000000000001,True,1.0,0.5317521460965797,0.2314821633514568
74,1711961,True,0.9935372721535954,0.9928571428571416,False,0.4571657142857142,False,1.0,0.9888911020753394,0.4552463519904951
75,1990199,True,0.8795275982643429,0.757142857142857,False,0.41067428571428555,False,1.0,0.9800366696998641,0.47060972294730324
76,1574199,True,0.7939943269860141,0.5857142857142873,True,0.23245714285714314,True,1.0,0.7092013144462676,0.3074814556482376
77,2000000,False,0.7939943269860141,0.5857142857142873,True,0.3099428571428573,True,1.0,0.543823,0.2361705
78,1686272,True,0.7939943269860141,0.5857142857142873,True,0.23245714285714314,True,1.0,0.5336653873159253,0.2277360947700015
79,1865888,True,0.752459384055735,0.6799999999999997,False,0.3176914285714283,False,1.0,0.9448739688555797,0.40994904302937796
80,1769152,True,0.9461408266197031,0.7999999999999979,True,0.34868571428571427,True,1.0,0.6992005209275405,0.3049743605976197
81,1659786,True,0.9065415770571512,0.778571428571427,True,0.28669714285714276,True,1.0,0.6936647254525583,0.30693896683066374
82,1723140,True,0.9723980581256096,0.9071428571428557,False,0.06973714285714294,False,1.0,0.9255881704330466,0.4238053785531065
83,1526089,True,0.7731973152616817,0.6444285714285715,True,0.2789485714285711,True,1.0,0.9909428611306418,0.41370260843240464
84,1909936,True,0.9802829199033936,0.8857142857142848,True,0.4649142857142856,True,1.0,0.5104186737147214,0.22070896616431127
85,1810354,True,0.7475167886897001,0.5428571428571439,True,0.23245714285714292,True,1.0,0.6234404983776654,0.2714844720977223
86,2000000,False,0.6521976684444665,0.5000000000000004,False,0.2479542857142858,False,1.0,0.9500225,0.4256955
87,1716049,True,0.8707706176121375,0.7142857142857131,False,0.32543999999999973,False,1.0,0.9681751511757531,0.45405871277568416
88,2000000,False,0.6075957678273336,0.41428571428571564,True,0.23245714285714292,True,1.0,0.529919,0.2353595
89,1423558,True,0.9325903042754438,0.7999999999999989,True,0.39517714285714267,True,1.0,0.9698811007349192,0.4463056651011058
90,2000000,False,0.831322063883792,0.6714285714285712,False,0.3409371428571426,False,1.0,0.8692215,0.3750565
91,1700265,True,0.7664207045003055,0.5869999999999999,False,0.3409371428571426,False,1.0,0.8870205526785531,0.37975256798204987
92,1730485,True,0.9632118732615483,0.8428571428571413,True,0.4416685714285713,True,1.0,0.7457157964385707,0.3340364117573975
93,2000000,False,0.867614195970294,0.6714285714285712,True,0.30994285714285685,True,1.0,0.4687585,0.198758
94,1989037,True,0.9262724151746672,0.7571428571428556,False,0.0,True,1.0,0.5977264374669752,0.263591376128247
95,1679920,True,0.8516742708960169,0.6714285714285712,True,0.38742857142857123,True,1.0,0.6134887375589314,0.2757333682556312
96,2000000,False,0.6669151527294037,0.526142857142858,True,0.27894857142857155,True,1.0,0.615951,0.2500885
97,1935919,True,0.6886192658390157,0.5000000000000004,True,0.26345142857142867,True,1.0,0.8836981299320891,0.4185371392088202
98,1643741,True,0.9507014018105949,0.8642857142857128,False,0.4029257142857141,False,1.0,0.9916957720224779,0.4538093288419526
99,1903824,True,0.9547741286594746,0.9071428571428557,False,0.4649142857142856,False,1.0,0.98842907747775,0.4544080755363941
