run_id,arm,side,seed,head_trained,smoke,probeset_sha,probe_r2,probe_mse_all,n_probe_mse_all,probe_mse_in_regime,n_probe_mse_in_regime,probe_mse_out_regime,n_probe_mse_out_regime,probe_mse_rewarded,n_probe_mse_rewarded,probe_mse_unrewarded,n_probe_mse_unrewarded,cons_err_all,n_cons_err_all,cons_err_in_regime,n_cons_err_in_regime,cons_err_out_regime,n_cons_err_out_regime,cons_err_rewarded,n_cons_err_rewarded,cons_err_unrewarded,n_cons_err_unrewarded,rew_head_mse_all,n_rew_head_mse_all,rew_head_mse_in_regime,n_rew_head_mse_in_regime,rew_head_mse_out_regime,n_rew_head_mse_out_regime,rew_head_mse_rewarded,n_rew_head_mse_rewarded,rew_head_mse_unrewarded,n_rew_head_mse_unrewarded
tm2wm_finger_awareq1s0_seed4,aware,0,4,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.6284767898199757,0.024078658064160197,30030,0.08270857510158929,2094,0.019683932753579707,27936,0.08117515432340398,2092,0.019803267192432153,27938,0.00014431750491049417,60000,0.00017878481767167267,5440,0.00014088088135072858,54560,0.00017878481767167267,5440,0.00014088088135072858,54560,0.009295411599501816,60000,0.06230398844783903,5440,0.004010098951867021,54560,0.06230398844783903,5440,0.004010098951867021,54560
tm2wm_finger_awareq1s0_seed5,aware,0,5,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.6173078200691624,0.02480252617304219,30030,0.0756141000456133,2094,0.020993840760343028,27936,0.0739261604164332,2092,0.02112414393962627,27938,0.00014504653765218335,60000,0.00019371531673872302,5440,0.000140193932112763,54560,0.00019371531673872302,5440,0.000140193932112763,54560,0.013259775387949245,60000,0.11676411804931713,5440,0.0029396943014785475,54560,0.11676411804931713,5440,0.0029396943014785475,54560
tm2wm_finger_awareq1s0_seed6,aware,0,6,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.5993469558829789,0.025966581326060417,30030,0.08446373816029391,2094,0.021581807327961732,27936,0.08335646294638024,2092,0.021669221731611673,27938,0.00013543798292303108,60000,0.0001873812381377855,5440,0.00013025889002771834,54560,0.0001873812381377855,5440,0.00013025889002771834,54560,0.016463258340299675,60000,0.13719983749139292,5440,0.004425007046642284,54560,0.13719983749139292,5440,0.004425007046642284,54560
tm2wm_finger_awareq1s0_seed7,aware,0,7,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.6444033006696279,0.023046450658549943,30030,0.07929721141993963,2094,0.018830059871237877,27936,0.07732531052050327,2092,0.018982044658435178,27938,0.00014324544932182258,60000,0.00019005492462766558,5440,0.0001385782289100963,54560,0.00019005492462766558,5440,0.0001385782289100963,54560,0.010757527382050042,60000,0.08392746318713964,5440,0.00346199126072146,54560,0.08392746318713964,5440,0.00346199126072146,54560
tm2wm_finger_awareq1s0_seed8,aware,0,8,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7039224249669658,0.019188977954383207,30030,0.055572982310255835,2094,0.016461740514477803,27936,0.05429362312635287,2092,0.016560338907215887,27938,0.0001338530518852925,60000,0.00019777943295580638,5440,0.00012747916051755796,54560,0.00019777943295580638,5440,0.00012747916051755796,54560,0.010611432885283852,60000,0.08419698563098199,5440,0.003274456951695183,54560,0.08419698563098199,5440,0.003274456951695183,54560
tm2wm_finger_awareq1s0_seed9,aware,0,9,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.6425688385198685,0.023165343329654663,30030,0.0654369737010678,2094,0.019996786843481294,27936,0.06418357323966903,2092,0.020093894515432094,27938,0.00011100115168362285,60000,0.0001398613241111862,5440,0.00010812359783454028,54560,0.0001398613241111862,5440,0.00010812359783454028,54560,0.019883875210198205,60000,0.16085286717589808,5440,0.005828315893970066,54560,0.16085286717589808,5440,0.005828315893970066,54560
tm2wm_finger_awareq1s1_seed1,aware,1,1,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.6921747992419676,0.019950349128907936,30030,0.08523910070438645,2094,0.015056497260385165,27936,0.08436759523616741,2092,0.015126779837749411,27938,0.0001899109475374947,60000,0.000254513728427743,5440,0.00018346961454550513,54560,0.000254513728427743,5440,0.00018346961454550513,54560,0.00777181942464635,60000,0.017465466162111094,5440,0.0068052974625530905,54560,0.017465466162111094,5440,0.0068052974625530905,54560
tm2wm_finger_awareq1s1_seed10,aware,1,10,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7915701038261247,0.013508475548236412,30030,0.05447816321549487,2094,0.010437508839500759,27936,0.05348011129850611,2092,0.010515395800596489,27938,0.0001767781141857256,60000,0.00017248720655879712,5440,0.00017720594661773607,54560,0.00017248720655879712,5440,0.00017720594661773607,54560,0.010556474896592645,60000,0.020450364848930373,5440,0.009569987335362488,54560,0.020450364848930373,5440,0.009569987335362488,54560
tm2wm_finger_awareq1s1_seed11,aware,1,11,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7551581055485381,0.01586836056197205,30030,0.05940944058573751,2094,0.012604649881496502,27936,0.058470530312776776,2092,0.012678306187332365,27938,0.00019448880529060944,60000,0.0001865495282334497,5440,0.0001952804047625843,54560,0.0001865495282334497,5440,0.0001952804047625843,54560,0.009555511379761041,60000,0.01985997553767987,5440,0.008528086800965612,54560,0.01985997553767987,5440,0.008528086800965612,54560
tm2wm_finger_awareq1s1_seed12,aware,1,12,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7784738909711586,0.014357249521516265,30030,0.05338194518728977,2094,0.011432073665125591,27936,0.05231077603613518,2092,0.011515285978364183,27938,0.00018712345800360027,60000,0.0001836505273192803,5440,0.00018746973261728612,54560,0.0001836505273192803,5440,0.00018746973261728612,54560,0.00871746967318352,60000,0.018922757477700097,5440,0.007699933645753717,54560,0.018922757477700097,5440,0.007699933645753717,54560
